soil_type,crop_type,irrigation_type,yield_per_acre
loamy,wheat,drip,2.0
loamy,wheat,sprinkler,2.0
loamy,wheat,flood,2.0
loamy,wheat,furrow,2.0
loamy,wheat,basin,2.0
loamy,wheat,rainfed,2.0
loamy,rice,drip,2.0
loamy,rice,sprinkler,2.0
loamy,rice,flood,2.0
loamy,rice,furrow,2.0
loamy,rice,basin,2.0
loamy,rice,rainfed,2.0
loamy,cotton,drip,2.0
loamy,cotton,sprinkler,2.0
loamy,cotton,flood,2.0
loamy,cotton,furrow,2.0
loamy,cotton,basin,2.0
loamy,cotton,rainfed,2.0
loamy,vegetables,drip,2.0
loamy,vegetables,sprinkler,2.0
loamy,vegetables,flood,2.0
loamy,vegetables,furrow,2.0
loamy,vegetables,basin,2.0
loamy,vegetables,rainfed,2.0
loamy,pulses,drip,2.0
loamy,pulses,sprinkler,2.0
loamy,pulses,flood,2.0
loamy,pulses,furrow,2.0
loamy,pulses,basin,2.0
loamy,pulses,rainfed,2.0
loamy,peanuts,drip,2.0
loamy,peanuts,sprinkler,2.0
loamy,peanuts,flood,2.0
loamy,peanuts,furrow,2.0
loamy,peanuts,basin,2.0
loamy,peanuts,rainfed,2.0
loamy,watermelon,drip,2.0
loamy,watermelon,sprinkler,2.0
loamy,watermelon,flood,2.0
loamy,watermelon,furrow,2.0
loamy,watermelon,basin,2.0
loamy,watermelon,rainfed,2.0
loamy,potatoes,drip,2.0
loamy,potatoes,sprinkler,2.0
loamy,potatoes,flood,2.0
loamy,potatoes,furrow,2.0
loamy,potatoes,basin,2.0
loamy,potatoes,rainfed,2.0
loamy,carrots,drip,2.0
loamy,carrots,sprinkler,2.0
loamy,carrots,flood,2.0
loamy,carrots,furrow,2.0
loamy,carrots,basin,2.0
loamy,carrots,rainfed,2.0
loamy,cantaloupe,drip,2.0
loamy,cantaloupe,sprinkler,2.0
loamy,cantaloupe,flood,2.0
loamy,cantaloupe,furrow,2.0
loamy,cantaloupe,basin,2.0
loamy,cantaloupe,rainfed,2.0
loamy,soybean,drip,2.0
loamy,soybean,sprinkler,2.0
loamy,soybean,flood,2.0
loamy,soybean,furrow,2.0
loamy,soybean,basin,2.0
loamy,soybean,rainfed,2.0
loamy,broccoli,drip,2.0
loamy,broccoli,sprinkler,2.0
loamy,broccoli,flood,2.0
loamy,broccoli,furrow,2.0
loamy,broccoli,basin,2.0
loamy,broccoli,rainfed,2.0
loamy,cabbage,drip,2.0
loamy,cabbage,sprinkler,2.0
loamy,cabbage,flood,2.0
loamy,cabbage,furrow,2.0
loamy,cabbage,basin,2.0
loamy,cabbage,rainfed,2.0
loamy,tomatoes,drip,2.0
loamy,tomatoes,sprinkler,2.0
loamy,tomatoes,flood,2.0
loamy,tomatoes,furrow,2.0
loamy,tomatoes,basin,2.0
loamy,tomatoes,rainfed,2.0
loamy,onions,drip,2.0
loamy,onions,sprinkler,2.0
loamy,onions,flood,2.0
loamy,onions,furrow,2.0
loamy,onions,basin,2.0
loamy,onions,rainfed,2.0
loamy,garlic,drip,2.0
loamy,garlic,sprinkler,2.0
loamy,garlic,flood,2.0
loamy,garlic,furrow,2.0
loamy,garlic,basin,2.0
loamy,garlic,rainfed,2.0
loamy,peppers,drip,2.0
loamy,peppers,sprinkler,2.0
loamy,peppers,flood,2.0
loamy,peppers,furrow,2.0
loamy,peppers,basin,2.0
loamy,peppers,rainfed,2.0
loamy,lettuce,drip,2.0
loamy,lettuce,sprinkler,2.0
loamy,lettuce,flood,2.0
loamy,lettuce,furrow,2.0
loamy,lettuce,basin,2.0
loamy,lettuce,rainfed,2.0
loamy,celery,drip,2.0
loamy,celery,sprinkler,2.0
loamy,celery,flood,2.0
loamy,celery,furrow,2.0
loamy,celery,basin,2.0
loamy,celery,rainfed,2.0
loamy,barley,drip,2.0
loamy,barley,sprinkler,2.0
loamy,barley,flood,2.0
loamy,barley,furrow,2.0
loamy,barley,basin,2.0
loamy,barley,rainfed,2.0
loamy,beet,drip,2.0
loamy,beet,sprinkler,2.0
loamy,beet,flood,2.0
loamy,beet,furrow,2.0
loamy,beet,basin,2.0
loamy,beet,rainfed,2.0
loamy,spinach,drip,2.0
loamy,spinach,sprinkler,2.0
loamy,spinach,flood,2.0
loamy,spinach,furrow,2.0
loamy,spinach,basin,2.0
loamy,spinach,rainfed,2.0
loamy,millets,drip,2.0
loamy,millets,sprinkler,2.0
loamy,millets,flood,2.0
loamy,millets,furrow,2.0
loamy,millets,basin,2.0
loamy,millets,rainfed,2.0
loamy,groundnut,drip,2.0
loamy,groundnut,sprinkler,2.0
loamy,groundnut,flood,2.0
loamy,groundnut,furrow,2.0
loamy,groundnut,basin,2.0
loamy,groundnut,rainfed,2.0
loamy,cashew,drip,2.0
loamy,cashew,sprinkler,2.0
loamy,cashew,flood,2.0
loamy,cashew,furrow,2.0
loamy,cashew,basin,2.0
loamy,cashew,rainfed,2.0
loamy,pineapple,drip,2.0
loamy,pineapple,sprinkler,2.0
loamy,pineapple,flood,2.0
loamy,pineapple,furrow,2.0
loamy,pineapple,basin,2.0
loamy,pineapple,rainfed,2.0
loamy,tea,drip,2.0
loamy,tea,sprinkler,2.0
loamy,tea,flood,2.0
loamy,tea,furrow,2.0
loamy,tea,basin,2.0
loamy,tea,rainfed,2.0
loamy,coffee,drip,2.0
loamy,coffee,sprinkler,2.0
loamy,coffee,flood,2.0
loamy,coffee,furrow,2.0
loamy,coffee,basin,2.0
loamy,coffee,rainfed,2.0
loamy,sunflower,drip,2.0
loamy,sunflower,sprinkler,2.0
loamy,sunflower,flood,2.0
loamy,sunflower,furrow,2.0
loamy,sunflower,basin,2.0
loamy,sunflower,rainfed,2.0
loamy,jute,drip,2.0
loamy,jute,sprinkler,2.0
loamy,jute,flood,2.0
loamy,jute,furrow,2.0
loamy,jute,basin,2.0
loamy,jute,rainfed,2.0
loamy,sugarcane,drip,2.0
loamy,sugarcane,sprinkler,2.0
loamy,sugarcane,flood,2.0
loamy,sugarcane,furrow,2.0
loamy,sugarcane,basin,2.0
loamy,sugarcane,rainfed,2.0
loamy,sugar beet,drip,2.0
loamy,sugar beet,sprinkler,2.0
loamy,sugar beet,flood,2.0
loamy,sugar beet,furrow,2.0
loamy,sugar beet,basin,2.0
loamy,sugar beet,rainfed,2.0
sandy,wheat,drip,2.0
sandy,wheat,sprinkler,2.0
sandy,wheat,flood,2.0
sandy,wheat,furrow,2.0
sandy,wheat,basin,2.0
sandy,wheat,rainfed,2.0
sandy,rice,drip,2.0
sandy,rice,sprinkler,2.0
sandy,rice,flood,2.0
sandy,rice,furrow,2.0
sandy,rice,basin,2.0
sandy,rice,rainfed,2.0
sandy,cotton,drip,2.0
sandy,cotton,sprinkler,2.0
sandy,cotton,flood,2.0
sandy,cotton,furrow,2.0
sandy,cotton,basin,2.0
sandy,cotton,rainfed,2.0
sandy,vegetables,drip,2.0
sandy,vegetables,sprinkler,2.0
sandy,vegetables,flood,2.0
sandy,vegetables,furrow,2.0
sandy,vegetables,basin,2.0
sandy,vegetables,rainfed,2.0
sandy,pulses,drip,2.0
sandy,pulses,sprinkler,2.0
sandy,pulses,flood,2.0
sandy,pulses,furrow,2.0
sandy,pulses,basin,2.0
sandy,pulses,rainfed,2.0
sandy,peanuts,drip,2.0
sandy,peanuts,sprinkler,2.0
sandy,peanuts,flood,2.0
sandy,peanuts,furrow,2.0
sandy,peanuts,basin,2.0
sandy,peanuts,rainfed,2.0
sandy,watermelon,drip,2.0
sandy,watermelon,sprinkler,2.0
sandy,watermelon,flood,2.0
sandy,watermelon,furrow,2.0
sandy,watermelon,basin,2.0
sandy,watermelon,rainfed,2.0
sandy,potatoes,drip,2.0
sandy,potatoes,sprinkler,2.0
sandy,potatoes,flood,2.0
sandy,potatoes,furrow,2.0
sandy,potatoes,basin,2.0
sandy,potatoes,rainfed,2.0
sandy,carrots,drip,2.0
sandy,carrots,sprinkler,2.0
sandy,carrots,flood,2.0
sandy,carrots,furrow,2.0
sandy,carrots,basin,2.0
sandy,carrots,rainfed,2.0
sandy,cantaloupe,drip,2.0
sandy,cantaloupe,sprinkler,2.0
sandy,cantaloupe,flood,2.0
sandy,cantaloupe,furrow,2.0
sandy,cantaloupe,basin,2.0
sandy,cantaloupe,rainfed,2.0
sandy,soybean,drip,2.0
sandy,soybean,sprinkler,2.0
sandy,soybean,flood,2.0
sandy,soybean,furrow,2.0
sandy,soybean,basin,2.0
sandy,soybean,rainfed,2.0
sandy,broccoli,drip,2.0
sandy,broccoli,sprinkler,2.0
sandy,broccoli,flood,2.0
sandy,broccoli,furrow,2.0
sandy,broccoli,basin,2.0
sandy,broccoli,rainfed,2.0
sandy,cabbage,drip,2.0
sandy,cabbage,sprinkler,2.0
sandy,cabbage,flood,2.0
sandy,cabbage,furrow,2.0
sandy,cabbage,basin,2.0
sandy,cabbage,rainfed,2.0
sandy,tomatoes,drip,2.0
sandy,tomatoes,sprinkler,2.0
sandy,tomatoes,flood,2.0
sandy,tomatoes,furrow,2.0
sandy,tomatoes,basin,2.0
sandy,tomatoes,rainfed,2.0
sandy,onions,drip,2.0
sandy,onions,sprinkler,2.0
sandy,onions,flood,2.0
sandy,onions,furrow,2.0
sandy,onions,basin,2.0
sandy,onions,rainfed,2.0
sandy,garlic,drip,2.0
sandy,garlic,sprinkler,2.0
sandy,garlic,flood,2.0
sandy,garlic,furrow,2.0
sandy,garlic,basin,2.0
sandy,garlic,rainfed,2.0
sandy,peppers,drip,2.0
sandy,peppers,sprinkler,2.0
sandy,peppers,flood,2.0
sandy,peppers,furrow,2.0
sandy,peppers,basin,2.0
sandy,peppers,rainfed,2.0
sandy,lettuce,drip,2.0
sandy,lettuce,sprinkler,2.0
sandy,lettuce,flood,2.0
sandy,lettuce,furrow,2.0
sandy,lettuce,basin,2.0
sandy,lettuce,rainfed,2.0
sandy,celery,drip,2.0
sandy,celery,sprinkler,2.0
sandy,celery,flood,2.0
sandy,celery,furrow,2.0
sandy,celery,basin,2.0
sandy,celery,rainfed,2.0
sandy,barley,drip,2.0
sandy,barley,sprinkler,2.0
sandy,barley,flood,2.0
sandy,barley,furrow,2.0
sandy,barley,basin,2.0
sandy,barley,rainfed,2.0
sandy,beet,drip,2.0
sandy,beet,sprinkler,2.0
sandy,beet,flood,2.0
sandy,beet,furrow,2.0
sandy,beet,basin,2.0
sandy,beet,rainfed,2.0
sandy,spinach,drip,2.0
sandy,spinach,sprinkler,2.0
sandy,spinach,flood,2.0
sandy,spinach,furrow,2.0
sandy,spinach,basin,2.0
sandy,spinach,rainfed,2.0
sandy,millets,drip,2.0
sandy,millets,sprinkler,2.0
sandy,millets,flood,2.0
sandy,millets,furrow,2.0
sandy,millets,basin,2.0
sandy,millets,rainfed,2.0
sandy,groundnut,drip,2.0
sandy,groundnut,sprinkler,2.0
sandy,groundnut,flood,2.0
sandy,groundnut,furrow,2.0
sandy,groundnut,basin,2.0
sandy,groundnut,rainfed,2.0
sandy,cashew,drip,2.0
sandy,cashew,sprinkler,2.0
sandy,cashew,flood,2.0
sandy,cashew,furrow,2.0
sandy,cashew,basin,2.0
sandy,cashew,rainfed,2.0
sandy,pineapple,drip,2.0
sandy,pineapple,sprinkler,2.0
sandy,pineapple,flood,2.0
sandy,pineapple,furrow,2.0
sandy,pineapple,basin,2.0
sandy,pineapple,rainfed,2.0
sandy,tea,drip,2.0
sandy,tea,sprinkler,2.0
sandy,tea,flood,2.0
sandy,tea,furrow,2.0
sandy,tea,basin,2.0
sandy,tea,rainfed,2.0
sandy,coffee,drip,2.0
sandy,coffee,sprinkler,2.0
sandy,coffee,flood,2.0
sandy,coffee,furrow,2.0
sandy,coffee,basin,2.0
sandy,coffee,rainfed,2.0
sandy,sunflower,drip,2.0
sandy,sunflower,sprinkler,2.0
sandy,sunflower,flood,2.0
sandy,sunflower,furrow,2.0
sandy,sunflower,basin,2.0
sandy,sunflower,rainfed,2.0
sandy,jute,drip,2.0
sandy,jute,sprinkler,2.0
sandy,jute,flood,2.0
sandy,jute,furrow,2.0
sandy,jute,basin,2.0
sandy,jute,rainfed,2.0
sandy,sugarcane,drip,2.0
sandy,sugarcane,sprinkler,2.0
sandy,sugarcane,flood,2.0
sandy,sugarcane,furrow,2.0
sandy,sugarcane,basin,2.0
sandy,sugarcane,rainfed,2.0
sandy,sugar beet,drip,2.0
sandy,sugar beet,sprinkler,2.0
sandy,sugar beet,flood,2.0
sandy,sugar beet,furrow,2.0
sandy,sugar beet,basin,2.0
sandy,sugar beet,rainfed,2.0
clay,wheat,drip,2.0
clay,wheat,sprinkler,2.0
clay,wheat,flood,2.0
clay,wheat,furrow,2.0
clay,wheat,basin,2.0
clay,wheat,rainfed,2.0
clay,rice,drip,2.0
clay,rice,sprinkler,2.0
clay,rice,flood,2.0
clay,rice,furrow,2.0
clay,rice,basin,2.0
clay,rice,rainfed,2.0
clay,cotton,drip,2.0
clay,cotton,sprinkler,2.0
clay,cotton,flood,2.0
clay,cotton,furrow,2.0
clay,cotton,basin,2.0
clay,cotton,rainfed,2.0
clay,vegetables,drip,2.0
clay,vegetables,sprinkler,2.0
clay,vegetables,flood,2.0
clay,vegetables,furrow,2.0
clay,vegetables,basin,2.0
clay,vegetables,rainfed,2.0
clay,pulses,drip,2.0
clay,pulses,sprinkler,2.0
clay,pulses,flood,2.0
clay,pulses,furrow,2.0
clay,pulses,basin,2.0
clay,pulses,rainfed,2.0
clay,peanuts,drip,2.0
clay,peanuts,sprinkler,2.0
clay,peanuts,flood,2.0
clay,peanuts,furrow,2.0
clay,peanuts,basin,2.0
clay,peanuts,rainfed,2.0
clay,watermelon,drip,2.0
clay,watermelon,sprinkler,2.0
clay,watermelon,flood,2.0
clay,watermelon,furrow,2.0
clay,watermelon,basin,2.0
clay,watermelon,rainfed,2.0
clay,potatoes,drip,2.0
clay,potatoes,sprinkler,2.0
clay,potatoes,flood,2.0
clay,potatoes,furrow,2.0
clay,potatoes,basin,2.0
clay,potatoes,rainfed,2.0
clay,carrots,drip,2.0
clay,carrots,sprinkler,2.0
clay,carrots,flood,2.0
clay,carrots,furrow,2.0
clay,carrots,basin,2.0
clay,carrots,rainfed,2.0
clay,cantaloupe,drip,2.0
clay,cantaloupe,sprinkler,2.0
clay,cantaloupe,flood,2.0
clay,cantaloupe,furrow,2.0
clay,cantaloupe,basin,2.0
clay,cantaloupe,rainfed,2.0
clay,soybean,drip,2.0
clay,soybean,sprinkler,2.0
clay,soybean,flood,2.0
clay,soybean,furrow,2.0
clay,soybean,basin,2.0
clay,soybean,rainfed,2.0
clay,broccoli,drip,2.0
clay,broccoli,sprinkler,2.0
clay,broccoli,flood,2.0
clay,broccoli,furrow,2.0
clay,broccoli,basin,2.0
clay,broccoli,rainfed,2.0
clay,cabbage,drip,2.0
clay,cabbage,sprinkler,2.0
clay,cabbage,flood,2.0
clay,cabbage,furrow,2.0
clay,cabbage,basin,2.0
clay,cabbage,rainfed,2.0
clay,tomatoes,drip,2.0
clay,tomatoes,sprinkler,2.0
clay,tomatoes,flood,2.0
clay,tomatoes,furrow,2.0
clay,tomatoes,basin,2.0
clay,tomatoes,rainfed,2.0
clay,onions,drip,2.0
clay,onions,sprinkler,2.0
clay,onions,flood,2.0
clay,onions,furrow,2.0
clay,onions,basin,2.0
clay,onions,rainfed,2.0
clay,garlic,drip,2.0
clay,garlic,sprinkler,2.0
clay,garlic,flood,2.0
clay,garlic,furrow,2.0
clay,garlic,basin,2.0
clay,garlic,rainfed,2.0
clay,peppers,drip,2.0
clay,peppers,sprinkler,2.0
clay,peppers,flood,2.0
clay,peppers,furrow,2.0
clay,peppers,basin,2.0
clay,peppers,rainfed,2.0
clay,lettuce,drip,2.0
clay,lettuce,sprinkler,2.0
clay,lettuce,flood,2.0
clay,lettuce,furrow,2.0
clay,lettuce,basin,2.0
clay,lettuce,rainfed,2.0
clay,celery,drip,2.0
clay,celery,sprinkler,2.0
clay,celery,flood,2.0
clay,celery,furrow,2.0
clay,celery,basin,2.0
clay,celery,rainfed,2.0
clay,barley,drip,2.0
clay,barley,sprinkler,2.0
clay,barley,flood,2.0
clay,barley,furrow,2.0
clay,barley,basin,2.0
clay,barley,rainfed,2.0
clay,beet,drip,2.0
clay,beet,sprinkler,2.0
clay,beet,flood,2.0
clay,beet,furrow,2.0
clay,beet,basin,2.0
clay,beet,rainfed,2.0
clay,spinach,drip,2.0
clay,spinach,sprinkler,2.0
clay,spinach,flood,2.0
clay,spinach,furrow,2.0
clay,spinach,basin,2.0
clay,spinach,rainfed,2.0
clay,millets,drip,2.0
clay,millets,sprinkler,2.0
clay,millets,flood,2.0
clay,millets,furrow,2.0
clay,millets,basin,2.0
clay,millets,rainfed,2.0
clay,groundnut,drip,2.0
clay,groundnut,sprinkler,2.0
clay,groundnut,flood,2.0
clay,groundnut,furrow,2.0
clay,groundnut,basin,2.0
clay,groundnut,rainfed,2.0
clay,cashew,drip,2.0
clay,cashew,sprinkler,2.0
clay,cashew,flood,2.0
clay,cashew,furrow,2.0
clay,cashew,basin,2.0
clay,cashew,rainfed,2.0
clay,pineapple,drip,2.0
clay,pineapple,sprinkler,2.0
clay,pineapple,flood,2.0
clay,pineapple,furrow,2.0
clay,pineapple,basin,2.0
clay,pineapple,rainfed,2.0
clay,tea,drip,2.0
clay,tea,sprinkler,2.0
clay,tea,flood,2.0
clay,tea,furrow,2.0
clay,tea,basin,2.0
clay,tea,rainfed,2.0
clay,coffee,drip,2.0
clay,coffee,sprinkler,2.0
clay,coffee,flood,2.0
clay,coffee,furrow,2.0
clay,coffee,basin,2.0
clay,coffee,rainfed,2.0
clay,sunflower,drip,2.0
clay,sunflower,sprinkler,2.0
clay,sunflower,flood,2.0
clay,sunflower,furrow,2.0
clay,sunflower,basin,2.0
clay,sunflower,rainfed,2.0
clay,jute,drip,2.0
clay,jute,sprinkler,2.0
clay,jute,flood,2.0
clay,jute,furrow,2.0
clay,jute,basin,2.0
clay,jute,rainfed,2.0
clay,sugarcane,drip,2.0
clay,sugarcane,sprinkler,2.0
clay,sugarcane,flood,2.0
clay,sugarcane,furrow,2.0
clay,sugarcane,basin,2.0
clay,sugarcane,rainfed,2.0
clay,sugar beet,drip,2.0
clay,sugar beet,sprinkler,2.0
clay,sugar beet,flood,2.0
clay,sugar beet,furrow,2.0
clay,sugar beet,basin,2.0
clay,sugar beet,rainfed,2.0
silt,wheat,drip,2.0
silt,wheat,sprinkler,2.0
silt,wheat,flood,2.0
silt,wheat,furrow,2.0
silt,wheat,basin,2.0
silt,wheat,rainfed,2.0
silt,rice,drip,2.0
silt,rice,sprinkler,2.0
silt,rice,flood,2.0
silt,rice,furrow,2.0
silt,rice,basin,2.0
silt,rice,rainfed,2.0
silt,cotton,drip,2.0
silt,cotton,sprinkler,2.0
silt,cotton,flood,2.0
silt,cotton,furrow,2.0
silt,cotton,basin,2.0
silt,cotton,rainfed,2.0
silt,vegetables,drip,2.0
silt,vegetables,sprinkler,2.0
silt,vegetables,flood,2.0
silt,vegetables,furrow,2.0
silt,vegetables,basin,2.0
silt,vegetables,rainfed,2.0
silt,pulses,drip,2.0
silt,pulses,sprinkler,2.0
silt,pulses,flood,2.0
silt,pulses,furrow,2.0
silt,pulses,basin,2.0
silt,pulses,rainfed,2.0
silt,peanuts,drip,2.0
silt,peanuts,sprinkler,2.0
silt,peanuts,flood,2.0
silt,peanuts,furrow,2.0
silt,peanuts,basin,2.0
silt,peanuts,rainfed,2.0
silt,watermelon,drip,2.0
silt,watermelon,sprinkler,2.0
silt,watermelon,flood,2.0
silt,watermelon,furrow,2.0
silt,watermelon,basin,2.0
silt,watermelon,rainfed,2.0
silt,potatoes,drip,2.0
silt,potatoes,sprinkler,2.0
silt,potatoes,flood,2.0
silt,potatoes,furrow,2.0
silt,potatoes,basin,2.0
silt,potatoes,rainfed,2.0
silt,carrots,drip,2.0
silt,carrots,sprinkler,2.0
silt,carrots,flood,2.0
silt,carrots,furrow,2.0
silt,carrots,basin,2.0
silt,carrots,rainfed,2.0
silt,cantaloupe,drip,2.0
silt,cantaloupe,sprinkler,2.0
silt,cantaloupe,flood,2.0
silt,cantaloupe,furrow,2.0
silt,cantaloupe,basin,2.0
silt,cantaloupe,rainfed,2.0
silt,soybean,drip,2.0
silt,soybean,sprinkler,2.0
silt,soybean,flood,2.0
silt,soybean,furrow,2.0
silt,soybean,basin,2.0
silt,soybean,rainfed,2.0
silt,broccoli,drip,2.0
silt,broccoli,sprinkler,2.0
silt,broccoli,flood,2.0
silt,broccoli,furrow,2.0
silt,broccoli,basin,2.0
silt,broccoli,rainfed,2.0
silt,cabbage,drip,2.0
silt,cabbage,sprinkler,2.0
silt,cabbage,flood,2.0
silt,cabbage,furrow,2.0
silt,cabbage,basin,2.0
silt,cabbage,rainfed,2.0
silt,tomatoes,drip,2.0
silt,tomatoes,sprinkler,2.0
silt,tomatoes,flood,2.0
silt,tomatoes,furrow,2.0
silt,tomatoes,basin,2.0
silt,tomatoes,rainfed,2.0
silt,onions,drip,2.0
silt,onions,sprinkler,2.0
silt,onions,flood,2.0
silt,onions,furrow,2.0
silt,onions,basin,2.0
silt,onions,rainfed,2.0
silt,garlic,drip,2.0
silt,garlic,sprinkler,2.0
silt,garlic,flood,2.0
silt,garlic,furrow,2.0
silt,garlic,basin,2.0
silt,garlic,rainfed,2.0
silt,peppers,drip,2.0
silt,peppers,sprinkler,2.0
silt,peppers,flood,2.0
silt,peppers,furrow,2.0
silt,peppers,basin,2.0
silt,peppers,rainfed,2.0
silt,lettuce,drip,2.0
silt,lettuce,sprinkler,2.0
silt,lettuce,flood,2.0
silt,lettuce,furrow,2.0
silt,lettuce,basin,2.0
silt,lettuce,rainfed,2.0
silt,celery,drip,2.0
silt,celery,sprinkler,2.0
silt,celery,flood,2.0
silt,celery,furrow,2.0
silt,celery,basin,2.0
silt,celery,rainfed,2.0
silt,barley,drip,2.0
silt,barley,sprinkler,2.0
silt,barley,flood,2.0
silt,barley,furrow,2.0
silt,barley,basin,2.0
silt,barley,rainfed,2.0
silt,beet,drip,2.0
silt,beet,sprinkler,2.0
silt,beet,flood,2.0
silt,beet,furrow,2.0
silt,beet,basin,2.0
silt,beet,rainfed,2.0
silt,spinach,drip,2.0
silt,spinach,sprinkler,2.0
silt,spinach,flood,2.0
silt,spinach,furrow,2.0
silt,spinach,basin,2.0
silt,spinach,rainfed,2.0
silt,millets,drip,2.0
silt,millets,sprinkler,2.0
silt,millets,flood,2.0
silt,millets,furrow,2.0
silt,millets,basin,2.0
silt,millets,rainfed,2.0
silt,groundnut,drip,2.0
silt,groundnut,sprinkler,2.0
silt,groundnut,flood,2.0
silt,groundnut,furrow,2.0
silt,groundnut,basin,2.0
silt,groundnut,rainfed,2.0
silt,cashew,drip,2.0
silt,cashew,sprinkler,2.0
silt,cashew,flood,2.0
silt,cashew,furrow,2.0
silt,cashew,basin,2.0
silt,cashew,rainfed,2.0
silt,pineapple,drip,2.0
silt,pineapple,sprinkler,2.0
silt,pineapple,flood,2.0
silt,pineapple,furrow,2.0
silt,pineapple,basin,2.0
silt,pineapple,rainfed,2.0
silt,tea,drip,2.0
silt,tea,sprinkler,2.0
silt,tea,flood,2.0
silt,tea,furrow,2.0
silt,tea,basin,2.0
silt,tea,rainfed,2.0
silt,coffee,drip,2.0
silt,coffee,sprinkler,2.0
silt,coffee,flood,2.0
silt,coffee,furrow,2.0
silt,coffee,basin,2.0
silt,coffee,rainfed,2.0
silt,sunflower,drip,2.0
silt,sunflower,sprinkler,2.0
silt,sunflower,flood,2.0
silt,sunflower,furrow,2.0
silt,sunflower,basin,2.0
silt,sunflower,rainfed,2.0
silt,jute,drip,2.0
silt,jute,sprinkler,2.0
silt,jute,flood,2.0
silt,jute,furrow,2.0
silt,jute,basin,2.0
silt,jute,rainfed,2.0
silt,sugarcane,drip,2.0
silt,sugarcane,sprinkler,2.0
silt,sugarcane,flood,2.0
silt,sugarcane,furrow,2.0
silt,sugarcane,basin,2.0
silt,sugarcane,rainfed,2.0
silt,sugar beet,drip,2.0
silt,sugar beet,sprinkler,2.0
silt,sugar beet,flood,2.0
silt,sugar beet,furrow,2.0
silt,sugar beet,basin,2.0
silt,sugar beet,rainfed,2.0
peat,wheat,drip,2.0
peat,wheat,sprinkler,2.0
peat,wheat,flood,2.0
peat,wheat,furrow,2.0
peat,wheat,basin,2.0
peat,wheat,rainfed,2.0
peat,rice,drip,2.0
peat,rice,sprinkler,2.0
peat,rice,flood,2.0
peat,rice,furrow,2.0
peat,rice,basin,2.0
peat,rice,rainfed,2.0
peat,cotton,drip,2.0
peat,cotton,sprinkler,2.0
peat,cotton,flood,2.0
peat,cotton,furrow,2.0
peat,cotton,basin,2.0
peat,cotton,rainfed,2.0
peat,vegetables,drip,2.0
peat,vegetables,sprinkler,2.0
peat,vegetables,flood,2.0
peat,vegetables,furrow,2.0
peat,vegetables,basin,2.0
peat,vegetables,rainfed,2.0
peat,pulses,drip,2.0
peat,pulses,sprinkler,2.0
peat,pulses,flood,2.0
peat,pulses,furrow,2.0
peat,pulses,basin,2.0
peat,pulses,rainfed,2.0
peat,peanuts,drip,2.0
peat,peanuts,sprinkler,2.0
peat,peanuts,flood,2.0
peat,peanuts,furrow,2.0
peat,peanuts,basin,2.0
peat,peanuts,rainfed,2.0
peat,watermelon,drip,2.0
peat,watermelon,sprinkler,2.0
peat,watermelon,flood,2.0
peat,watermelon,furrow,2.0
peat,watermelon,basin,2.0
peat,watermelon,rainfed,2.0
peat,potatoes,drip,2.0
peat,potatoes,sprinkler,2.0
peat,potatoes,flood,2.0
peat,potatoes,furrow,2.0
peat,potatoes,basin,2.0
peat,potatoes,rainfed,2.0
peat,carrots,drip,2.0
peat,carrots,sprinkler,2.0
peat,carrots,flood,2.0
peat,carrots,furrow,2.0
peat,carrots,basin,2.0
peat,carrots,rainfed,2.0
peat,cantaloupe,drip,2.0
peat,cantaloupe,sprinkler,2.0
peat,cantaloupe,flood,2.0
peat,cantaloupe,furrow,2.0
peat,cantaloupe,basin,2.0
peat,cantaloupe,rainfed,2.0
peat,soybean,drip,2.0
peat,soybean,sprinkler,2.0
peat,soybean,flood,2.0
peat,soybean,furrow,2.0
peat,soybean,basin,2.0
peat,soybean,rainfed,2.0
peat,broccoli,drip,2.0
peat,broccoli,sprinkler,2.0
peat,broccoli,flood,2.0
peat,broccoli,furrow,2.0
peat,broccoli,basin,2.0
peat,broccoli,rainfed,2.0
peat,cabbage,drip,2.0
peat,cabbage,sprinkler,2.0
peat,cabbage,flood,2.0
peat,cabbage,furrow,2.0
peat,cabbage,basin,2.0
peat,cabbage,rainfed,2.0
peat,tomatoes,drip,2.0
peat,tomatoes,sprinkler,2.0
peat,tomatoes,flood,2.0
peat,tomatoes,furrow,2.0
peat,tomatoes,basin,2.0
peat,tomatoes,rainfed,2.0
peat,onions,drip,2.0
